#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_100_length_1468_cov_60.478001	125	1344	ehaB	87-1276/2949	=======./......	8/36	40.25	90.52	ecoli_vf	gi:222155165	ecoli_vf~~~ehaB~~~gi:222155165 structural protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	18472	19329	entB	1-858/858	===============	0/0	100.00	98.02	ecoli_vf	gi:26246574	ecoli_vf~~~entB~~~gi:26246574 isochorismatase
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	19329	20075	entA	1-747/747	===============	0/0	100.00	95.98	ecoli_vf	gi:26246575	ecoli_vf~~~entA~~~gi:26246575 23-dihydro-23-dihydroxybenzoate dehydrogenase
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	55801	56525	tar/cheM	790-1514/1662	.......=======.	0/0	43.62	76.55	ecoli_vf	gi:15802298	ecoli_vf~~~tar/cheM~~~gi:15802298 methyl-accepting chemotaxis protein II
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	73960	74100	entD	1-141/771	===...../......	2/2	18.16	80.28	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	94343	95245	fimH	1-903/903	===============	0/0	100.00	99.89	ecoli_vf	gi:16132141	ecoli_vf~~~fimH~~~gi:16132141 minor component of type 1 fimbriae
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	95265	95768	fimG	1-504/504	===============	0/0	100.00	99.41	ecoli_vf	gi:16132140	ecoli_vf~~~fimG~~~gi:16132140 minor component of type 1 fimbriae
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	95781	96311	fimF	1-531/531	===============	0/0	100.00	99.81	ecoli_vf	gi:260871040	ecoli_vf~~~fimF~~~gi:260871040 minor component FimF of type 1 fimbriae
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	96321	98957	fimD	1-2637/2637	===============	0/0	100.00	99.43	ecoli_vf	gi:218703016	ecoli_vf~~~fimD~~~gi:218703016 outer membrane usher protein type 1 fimbrial synthesis
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	99024	99749	fimC	1-726/726	===============	0/0	100.00	99.45	ecoli_vf	gi:386622104	ecoli_vf~~~fimC~~~gi:386622104 Periplasmic chaperone FimC
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	99786	100443	fimI	6-663/663	===============	0/0	99.25	98.94	ecoli_vf	gi:117626623	ecoli_vf~~~fimI~~~gi:117626623 FimI fimbrial protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	100390	101001	fimA	1-612/612	===============	0/0	100.00	95.92	ecoli_vf	gi:117626622	ecoli_vf~~~fimA~~~gi:117626622 type 1 fimbriae major subunit FimA
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	101425	102021	fimE	1-597/597	===============	0/0	100.00	98.83	ecoli_vf	gi:218561489	ecoli_vf~~~fimE~~~gi:218561489 tyrosine recombinase
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	102499	103101	fimB	1-603/603	===============	0/0	100.00	99.50	ecoli_vf	gi:260858480	ecoli_vf~~~fimB~~~gi:260858480 tyrosine recombinase
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_14_length_110110_cov_42.813762	109621	109842	cah	1-221/3018	==....../......	1/1	7.32	89.64	ecoli_vf	gi:15801137	ecoli_vf~~~cah~~~gi:15801137 putative adhesin
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_153_length_253_cov_32.333333	1	126	fimD	2519-2644/2754	.............==	0/0	4.58	100.00	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_154_length_253_cov_24.460317	128	253	fimD	2519-2644/2754	.............==	0/0	4.58	100.00	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	23790	24260	ppda	1-471/471	===============	0/0	100.00	98.73	ecoli_vf	SPG000131	ecoli_vf~~~ppda~~~SPG000131 Pilin-like protein minor pilin or pseudo pilin Adherence Hemorrhagic coli pilus
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	24251	24814	ppdb	1-564/564	===============	0/0	100.00	98.76	ecoli_vf	SPG000112	ecoli_vf~~~ppdb~~~SPG000112 Pilin-like protein minor pilin or pseudo pilin Adherence Hemorrhagic coli pilus
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	24811	25218	ygdb	1-408/408	===============	0/0	100.00	95.10	ecoli_vf	SPG000137	ecoli_vf~~~ygdb~~~SPG000137 Pilin-like protein minor pilin or pseudo pilin Adherence Hemorrhagic coli pilus
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	25203	25526	ppdc	1-324/324	===============	0/0	100.00	97.53	ecoli_vf	SPG000140	ecoli_vf~~~ppdc~~~SPG000140 Pilin-like protein minor pilin or pseudopilin Adherence Hemorrhagic coli pilus
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	41169	42545	EcE24377A_3135	1-1377/1377	===============	0/0	100.00	99.86	ecoli_vf	gi:157156697	ecoli_vf~~~EcE24377A_3135~~~gi:157156697 ImpA-related N-terminal domain-containing protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	42545	42973	ECO103_3374	1-429/429	===============	0/0	100.00	99.77	ecoli_vf	gi:260845477	ecoli_vf~~~ECO103_3374~~~gi:260845477 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	42977	43513	ECO103_3373	1-537/537	===============	0/0	100.00	100.00	ecoli_vf	gi:260845476	ecoli_vf~~~ECO103_3373~~~gi:260845476 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	43494	43568	ECO103_3372	1006-1080/1080	.............==	0/0	6.94	98.67	ecoli_vf	gi:260845475	ecoli_vf~~~ECO103_3372~~~gi:260845475 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	43559	43923	EC958_3095	1693-2056/2379	......../.====.	1/1	15.30	95.07	ecoli_vf	VFG045808	ecoli_vf~~~EC958_3095~~~VFG045808 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	43922	44056	EcE24377A_3129	1033-1167/2646	.....==........	0/0	5.10	100.00	ecoli_vf	gi:157155408	ecoli_vf~~~EcE24377A_3129~~~gi:157155408 ClpA/ClpB family protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	44055	45440	EcE24377A_3124	1-1386/1539	==============.	0/0	90.06	99.93	ecoli_vf	gi:157155143	ecoli_vf~~~EcE24377A_3124~~~gi:157155143 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_15_length_108333_cov_43.301444	45489	45999	ECO103_3357	1-510/510	========/======	1/1	100.00	98.83	ecoli_vf	gi:260845460	ecoli_vf~~~ECO103_3357~~~gi:260845460 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_162_length_250_cov_20.447154	1	123	fimD	2519-2641/2754	.............==	0/0	4.47	100.00	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	5299	6132	csgG	1-834/834	===============	0/0	100.00	98.32	ecoli_vf	gi:15801154	ecoli_vf~~~csgG~~~gi:15801154 curli production assembly/transport component 2nd curli operon
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	6159	6575	csgF	1-417/417	===============	0/0	100.00	99.76	ecoli_vf	gi:15801155	ecoli_vf~~~csgF~~~gi:15801155 curli assembly protein CsgF
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	6600	6989	csgE	1-390/390	===============	0/0	100.00	99.23	ecoli_vf	gi:15801156	ecoli_vf~~~csgE~~~gi:15801156 curli assembly protein CsgE
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	6994	7644	csgD	1-651/651	===============	0/0	100.00	99.23	ecoli_vf	VFG045791	ecoli_vf~~~csgD~~~VFG045791 putative 2-component transcriptional regulator for 2nd curli operon
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	8371	8853	csgB	1-483/483	===============	0/0	100.00	99.59	ecoli_vf	VFG045792	ecoli_vf~~~csgB~~~VFG045792 minor curlin subunit CsgB
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	8894	9349	csgA	1-459/459	========/======	1/3	99.35	93.03	ecoli_vf	gi:15801159	ecoli_vf~~~csgA~~~gi:15801159 cryptic curlin major subunit
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	9408	9740	csgC	1-333/333	===============	0/0	100.00	98.50	ecoli_vf	VFG045794	ecoli_vf~~~csgC~~~VFG045794 putative curli production protein CsgC
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	17863	17974	entD	3-114/771	===...../......	2/2	14.40	88.50	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	33864	34280	flgN	1-417/417	===============	0/0	100.00	98.32	ecoli_vf	gi:15801187	ecoli_vf~~~flgN~~~gi:15801187 flagella synthesis protein FlgN
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	34654	35313	flgA	1-660/660	===============	0/0	100.00	97.27	ecoli_vf	gi:15801189	ecoli_vf~~~flgA~~~gi:15801189 flagellar basal body P-ring biosynthesis protein FlgA
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	35468	35884	flgB	1-417/417	===============	0/0	100.00	99.28	ecoli_vf	gi:15801190	ecoli_vf~~~flgB~~~gi:15801190 flagellar basal body rod protein FlgB
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	35888	36292	flgC	1-405/405	===============	0/0	100.00	98.52	ecoli_vf	gi:15801191	ecoli_vf~~~flgC~~~gi:15801191 flagellar basal body rod protein FlgC
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	36304	36999	flgD	1-696/696	===============	0/0	100.00	98.85	ecoli_vf	gi:15801192	ecoli_vf~~~flgD~~~gi:15801192 flagellar basal body rod modification protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	37024	38229	flgE	1-1206/1206	===============	0/0	100.00	98.34	ecoli_vf	gi:15801193	ecoli_vf~~~flgE~~~gi:15801193 flagellar hook protein FlgE
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	38249	39004	flgF	1-756/756	===============	0/0	100.00	98.15	ecoli_vf	gi:15801194	ecoli_vf~~~flgF~~~gi:15801194 flagellar basal body rod protein FlgF
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	39142	39924	flgG	1-783/783	===============	0/0	100.00	99.36	ecoli_vf	gi:15801195	ecoli_vf~~~flgG~~~gi:15801195 flagellar basal body rod protein FlgG
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	39977	40675	flgH	1-699/699	===============	0/0	100.00	99.57	ecoli_vf	gi:15801196	ecoli_vf~~~flgH~~~gi:15801196 flagellar basal body L-ring protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	40687	41784	flgI	1-1098/1098	===============	0/0	100.00	97.72	ecoli_vf	gi:15801197	ecoli_vf~~~flgI~~~gi:15801197 flagellar basal body P-ring protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	41784	42725	flgJ	1-942/942	===============	0/0	100.00	98.19	ecoli_vf	gi:15801198	ecoli_vf~~~flgJ~~~gi:15801198 flagellar rod assembly protein/muramidase FlgJ
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	42791	44434	flgK	1-1644/1644	===============	0/0	100.00	98.66	ecoli_vf	gi:15801199	ecoli_vf~~~flgK~~~gi:15801199 flagellar hook-associated protein FlgK
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	44446	45399	flgL	1-954/954	===============	0/0	100.00	96.75	ecoli_vf	gi:15801200	ecoli_vf~~~flgL~~~gi:15801200 flagellar hook-associated protein FlgL
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	84769	84880	entD	1-114/771	===...../......	1/2	14.53	82.46	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_16_length_106413_cov_38.563470	84895	85683	ycfz	1-789/789	========/======	2/2	99.87	90.00	ecoli_vf	SPG000092	ecoli_vf~~~ycfz~~~SPG000092 putative factor
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_17_length_104282_cov_39.273813	25223	25342	entD	14-132/771	===...../......	3/3	15.30	92.56	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_17_length_104282_cov_39.273813	41915	42049	entD	1-136/771	===...../......	2/3	17.38	88.32	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_17_length_104282_cov_39.273813	74388	75431	nada	1-1044/1044	===============	0/0	100.00	99.52	ecoli_vf	SPG000048	ecoli_vf~~~nada~~~SPG000048 Escherichia coli str. K-12 substr. MG1655 complete genome
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_17_length_104282_cov_39.273813	86734	86869	entD	3-137/771	===...../......	3/3	17.38	81.75	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_18_length_102364_cov_42.889120	101262	101432	clpV	2032-2202/2760	...........=...	0/0	6.20	77.19	ecoli_vf	gi:410484148	ecoli_vf~~~clpV~~~gi:410484148 ATP-dependent Clp proteinase ATP-binding subunit
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_19_length_99548_cov_40.917050	4398	5153	matF	1-756/756	===============	0/0	100.00	97.62	ecoli_vf	VFG045787	ecoli_vf~~~matF~~~VFG045787 Mat/Ecp fimbriae periplasmic chaperone protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_19_length_99548_cov_40.917050	5077	6720	ecpD	1-1644/1644	===============	0/0	100.00	100.00	ecoli_vf	gi:260853520	ecoli_vf~~~ecpD~~~gi:260853520 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_19_length_99548_cov_40.917050	6710	9235	ecpC	1-2526/2526	===============	0/0	100.00	99.80	ecoli_vf	gi:260853521	ecoli_vf~~~ecpC~~~gi:260853521 outer membrane usher protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_19_length_99548_cov_40.917050	9261	9979	ecpB	1-717/717	========/======	1/2	100.00	97.91	ecoli_vf	gi:26246301	ecoli_vf~~~ecpB~~~gi:26246301 Hypothetical protein yagY precursor
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_19_length_99548_cov_40.917050	9988	10575	ecpA	1-588/588	===============	0/0	100.00	100.00	ecoli_vf	gi:16128278	ecoli_vf~~~ecpA~~~gi:16128278 conserved protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_19_length_99548_cov_40.917050	10650	11240	ecpR	1-591/591	===============	0/0	100.00	99.49	ecoli_vf	gi:410484079	ecoli_vf~~~ecpR~~~gi:410484079 transcriptional regulator
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_19_length_99548_cov_40.917050	14323	18513	eaeH	1-4191/4191	===============	0/0	100.00	99.09	ecoli_vf	gi:157156471	ecoli_vf~~~eaeH~~~gi:157156471 EaeH
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_19_length_99548_cov_40.917050	35112	39095	ehaA	1-3984/3984	===============	0/0	100.00	99.92	ecoli_vf	gi:157158257	ecoli_vf~~~ehaA~~~gi:157158257 outer membrane autotransporter
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_19_length_99548_cov_40.917050	99325	99422	ehaB	1-98/2943	=..............	0/0	3.33	100.00	ecoli_vf	gi:291281277	ecoli_vf~~~ehaB~~~gi:291281277 flagellin structural protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_1_length_345632_cov_36.387595	193324	195219	espL1	1-1899/1899	========/======	1/3	99.84	94.84	ecoli_vf	gi:15831681	ecoli_vf~~~espL1~~~gi:15831681 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_1_length_345632_cov_36.387595	213354	213475	entD	10-131/771	===...../......	2/2	15.69	82.11	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_20_length_97075_cov_38.852643	5992	7047	hlyE	1-1056/1056	===============	0/0	100.00	98.58	ecoli_vf	gi:209398688	ecoli_vf~~~hlyE~~~gi:209398688 hemolysin E
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_21_length_96322_cov_42.298061	25460	25565	entD	14-122/771	===...../......	3/5	13.62	85.45	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_21_length_96322_cov_42.298061	80628	82250	nadb	1-1623/1623	===============	0/0	100.00	97.41	ecoli_vf	SPG000049	ecoli_vf~~~nadb~~~SPG000049 Escherichia coli str. K-12 substr. MG1655 complete genome
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_22_length_92134_cov_45.151488	54451	54589	aslA	1-139/1428	==.............	0/0	9.73	97.12	ecoli_vf	gi:9965749	ecoli_vf~~~aslA~~~gi:9965749 putative arylsulfatase
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_23_length_89960_cov_45.489853	20771	20901	entD	1-131/771	===...../......	2/2	16.86	87.88	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_23_length_89960_cov_45.489853	49106	49237	entD	1-132/771	===...../......	2/2	16.99	84.96	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_24_length_89496_cov_16.945552	1	127	fimD	2519-2645/2754	.............==	0/0	4.61	100.00	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
