locus_tag	ftype	length_bp	gene	EC_number	COG	product
ADRDL_1929_00029	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
ADRDL_1929_00029	gene	336	arnE			
ADRDL_1929_00030	CDS	1653	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
ADRDL_1929_00030	gene	1653	arnT			
ADRDL_1929_00031	CDS	891	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
ADRDL_1929_00031	gene	891	arnD			
ADRDL_1929_00032	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
ADRDL_1929_00032	gene	1983	arnA			
ADRDL_1929_00033	CDS	969	arnC_1	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
ADRDL_1929_00033	gene	969	arnC_1			
ADRDL_1929_00034	CDS	1158	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
ADRDL_1929_00034	gene	1158	arnB			
ADRDL_1929_00035	CDS	603	ais	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
ADRDL_1929_00035	gene	603	ais			
ADRDL_1929_00036	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
ADRDL_1929_00036	gene	426	nudI			
ADRDL_1929_00037	CDS	543				hypothetical protein
ADRDL_1929_00037	gene	543				
ADRDL_1929_00038	CDS	1203	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
ADRDL_1929_00038	gene	1203	pncC_1			
ADRDL_1929_00039	CDS	390	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
ADRDL_1929_00039	gene	390	rhmA			
ADRDL_1929_00040	CDS	903				ISNCY family transposase ISSen7
ADRDL_1929_00040	gene	903				
ADRDL_1929_00041	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
ADRDL_1929_00041	gene	1191	glpC			
ADRDL_1929_00042	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
ADRDL_1929_00042	gene	1260	glpB			
ADRDL_1929_00043	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
ADRDL_1929_00043	gene	1629	glpA			
ADRDL_1929_00044	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
ADRDL_1929_00044	gene	1359	glpT			
ADRDL_1929_00045	CDS	1077	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
ADRDL_1929_00045	gene	1077	glpQ			
ADRDL_1929_00046	CDS	207				hypothetical protein
ADRDL_1929_00046	gene	207				
ADRDL_1929_00047	CDS	651	inaA			Protein InaA
ADRDL_1929_00047	gene	651	inaA			
ADRDL_1929_00048	CDS	255				hypothetical protein
ADRDL_1929_00048	gene	255				
ADRDL_1929_00049	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
ADRDL_1929_00049	gene	1131	nrdB			
ADRDL_1929_00050	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
ADRDL_1929_00050	gene	2286	nrdA			
ADRDL_1929_00051	CDS	3741	yfaL		COG3468	putative autotransporter YfaL
ADRDL_1929_00051	gene	3741	yfaL			
ADRDL_1929_00052	CDS	723	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
ADRDL_1929_00052	gene	723	ubiG			
ADRDL_1929_00053	CDS	2628	gyrA	5.99.1.3	COG0188	DNA gyrase subunit A
ADRDL_1929_00053	gene	2628	gyrA			
ADRDL_1929_00054	CDS	1689				hypothetical protein
ADRDL_1929_00054	gene	1689				
ADRDL_1929_00055	CDS	624				hypothetical protein
ADRDL_1929_00055	gene	624				
ADRDL_1929_00056	CDS	4395				hypothetical protein
ADRDL_1929_00056	gene	4395				
ADRDL_1929_00057	CDS	1650				hypothetical protein
ADRDL_1929_00057	gene	1650				
ADRDL_1929_00058	CDS	777				hypothetical protein
ADRDL_1929_00058	gene	777				
ADRDL_1929_00059	CDS	2850	rcsC	2.7.13.3		Sensor histidine kinase RcsC
ADRDL_1929_00059	gene	2850	rcsC			
ADRDL_1929_00060	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
ADRDL_1929_00060	gene	651	rcsB			
ADRDL_1929_00061	CDS	2673	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
ADRDL_1929_00061	gene	2673	rcsD			
ADRDL_1929_00062	CDS	1125	ompC		COG3203	Outer membrane protein C
ADRDL_1929_00062	gene	1125	ompC			
ADRDL_1929_00063	CDS	1056	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
ADRDL_1929_00063	gene	1056	apbE			
ADRDL_1929_00064	CDS	1065	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
ADRDL_1929_00064	gene	1065	ada			
ADRDL_1929_00065	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
ADRDL_1929_00065	gene	651	alkB			
ADRDL_1929_00066	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
ADRDL_1929_00066	gene	1644	yojI			
ADRDL_1929_00067	CDS	1647	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
ADRDL_1929_00067	gene	1647	mqo			
ADRDL_1929_00068	CDS	489	eco		COG4574	Ecotin
ADRDL_1929_00068	gene	489	eco			
ADRDL_1929_00069	CDS	165				hypothetical protein
ADRDL_1929_00069	gene	165				
ADRDL_1929_00070	CDS	495	napF		COG1145	Ferredoxin-type protein NapF
ADRDL_1929_00070	gene	495	napF			
ADRDL_1929_00071	CDS	264	napD		COG3062	Chaperone NapD
ADRDL_1929_00071	gene	264	napD			
ADRDL_1929_00072	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
ADRDL_1929_00072	gene	2487	napA			
ADRDL_1929_00073	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
ADRDL_1929_00073	gene	696	napG			
ADRDL_1929_00074	CDS	864	napH		COG0348	Ferredoxin-type protein NapH
ADRDL_1929_00074	gene	864	napH			
ADRDL_1929_00075	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
ADRDL_1929_00075	gene	450	napB			
ADRDL_1929_00076	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
ADRDL_1929_00076	gene	603	napC			
ADRDL_1929_00077	CDS	618	ccmA	3.6.3.41	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
ADRDL_1929_00077	gene	618	ccmA			
ADRDL_1929_00078	CDS	663	ccmB		COG2386	Heme exporter protein B
ADRDL_1929_00078	gene	663	ccmB			
ADRDL_1929_00079	CDS	738	ccmC		COG0755	Heme exporter protein C
ADRDL_1929_00079	gene	738	ccmC			
ADRDL_1929_00080	CDS	210	ccmD		COG3114	Heme exporter protein D
ADRDL_1929_00080	gene	210	ccmD			
ADRDL_1929_00081	CDS	480	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
ADRDL_1929_00081	gene	480	ccmE			
ADRDL_1929_00082	CDS	1944	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
ADRDL_1929_00082	gene	1944	ccmF_1			
ADRDL_1929_00083	CDS	558	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
ADRDL_1929_00083	gene	558	dsbE			
ADRDL_1929_00084	CDS	1053	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
ADRDL_1929_00084	gene	1053	ccmH_1			
ADRDL_1929_00085	CDS	648	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
ADRDL_1929_00085	gene	648	narL_1			
ADRDL_1929_00086	CDS	2316				putative autotransporter
ADRDL_1929_00086	gene	2316				
ADRDL_1929_00087	tRNA	77				tRNA-Pro(ggg)
ADRDL_1929_00087	gene	77				
ADRDL_1929_00088	CDS	1761	yejM		COG3083	Inner membrane protein YejM
ADRDL_1929_00088	gene	1761	yejM			
ADRDL_1929_00089	CDS	228				hypothetical protein
ADRDL_1929_00089	gene	228				
ADRDL_1929_00090	CDS	1008	yejK		COG3081	Nucleoid-associated protein YejK
ADRDL_1929_00090	gene	1008	yejK			
ADRDL_1929_00091	CDS	285	rplY		COG1825	50S ribosomal protein L25
ADRDL_1929_00091	gene	285	rplY			
ADRDL_1929_00092	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
ADRDL_1929_00092	gene	1761	radD			
ADRDL_1929_00093	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
ADRDL_1929_00093	gene	696	rsuA			
ADRDL_1929_00094	CDS	1191	bcr			Bicyclomycin resistance protein
ADRDL_1929_00094	gene	1191	bcr			
ADRDL_1929_00095	CDS	345	yejG			putative protein YejG
ADRDL_1929_00095	gene	345	yejG			
ADRDL_1929_00096	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
ADRDL_1929_00096	gene	1590	yejF			
ADRDL_1929_00097	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
ADRDL_1929_00097	gene	1026	yejE			
ADRDL_1929_00098	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
ADRDL_1929_00098	gene	1095	yejB			
ADRDL_1929_00099	CDS	1815				hypothetical protein
ADRDL_1929_00099	gene	1815				
ADRDL_1929_00100	CDS	1557	pdeN	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
ADRDL_1929_00100	gene	1557	pdeN			
ADRDL_1929_00101	CDS	567	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
ADRDL_1929_00101	gene	567	mepS_1			
ADRDL_1929_00102	CDS	714	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
ADRDL_1929_00102	gene	714	lpxT			
ADRDL_1929_00103	CDS	987	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
ADRDL_1929_00103	gene	987	yeiR			
ADRDL_1929_00104	CDS	1467	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
ADRDL_1929_00104	gene	1467	por_1			
ADRDL_1929_00105	CDS	573	yeiP		COG0231	Elongation factor P-like protein
ADRDL_1929_00105	gene	573	yeiP			
ADRDL_1929_00106	CDS	255				hypothetical protein
ADRDL_1929_00106	gene	255				
ADRDL_1929_00107	CDS	1182	setB			Sugar efflux transporter B
ADRDL_1929_00107	gene	1182	setB			
ADRDL_1929_00108	CDS	1131	fruB		COG1925	Multiphosphoryl transfer protein
ADRDL_1929_00108	gene	1131	fruB			
ADRDL_1929_00109	CDS	939	lacC	2.7.1.144		Tagatose-6-phosphate kinase
ADRDL_1929_00109	gene	939	lacC			
ADRDL_1929_00110	CDS	1692	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
ADRDL_1929_00110	gene	1692	fruA_1			
ADRDL_1929_00111	CDS	942	psuK_1	2.7.1.83	COG0524	Pseudouridine kinase
ADRDL_1929_00111	gene	942	psuK_1			
ADRDL_1929_00112	CDS	939	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
ADRDL_1929_00112	gene	939	psuG			
ADRDL_1929_00113	CDS	1251	psuT		COG1972	Putative pseudouridine transporter
ADRDL_1929_00113	gene	1251	psuT			
ADRDL_1929_00114	CDS	699	yeiL		COG0664	Regulatory protein YeiL
ADRDL_1929_00114	gene	699	yeiL			
ADRDL_1929_00115	CDS	942	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
ADRDL_1929_00115	gene	942	rihB			
ADRDL_1929_00116	CDS	1251	nupX		COG1972	Putative nucleoside permease NupX
ADRDL_1929_00116	gene	1251	nupX			
ADRDL_1929_00117	CDS	1089	psuK_2	2.7.1.83	COG0524	Pseudouridine kinase
ADRDL_1929_00117	gene	1089	psuK_2			
ADRDL_1929_00118	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
ADRDL_1929_00118	gene	858	nfo			
ADRDL_1929_00119	CDS	1050				hypothetical protein
ADRDL_1929_00119	gene	1050				
ADRDL_1929_00120	CDS	882	cysL		COG0583	HTH-type transcriptional regulator CysL
ADRDL_1929_00120	gene	882	cysL			
ADRDL_1929_00121	CDS	1470	lysP		COG0833	Lysine-specific permease
ADRDL_1929_00121	gene	1470	lysP			
ADRDL_1929_00122	CDS	1992	cirA		COG4771	Colicin I receptor
ADRDL_1929_00122	gene	1992	cirA			
ADRDL_1929_00123	CDS	837	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
ADRDL_1929_00123	gene	837	yeiG			
ADRDL_1929_00124	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
ADRDL_1929_00124	gene	669	folE			
ADRDL_1929_00125	CDS	1158				hypothetical protein
ADRDL_1929_00125	gene	1158				
ADRDL_1929_00126	CDS	1041	galS		COG1609	HTH-type transcriptional regulator GalS
ADRDL_1929_00126	gene	1041	galS			
ADRDL_1929_00127	CDS	999	mglB		COG1879	D-galactose-binding periplasmic protein
ADRDL_1929_00127	gene	999	mglB			
ADRDL_1929_00128	CDS	1521	mglA_1	3.6.3.17	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
ADRDL_1929_00128	gene	1521	mglA_1			
ADRDL_1929_00129	CDS	1011	mglC		COG4211	Galactoside transport system permease protein MglC
ADRDL_1929_00129	gene	1011	mglC			
ADRDL_1929_00130	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
ADRDL_1929_00130	gene	1236	preA			
ADRDL_1929_00131	CDS	1239	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
ADRDL_1929_00131	gene	1239	preT			
ADRDL_1929_00132	CDS	240				hypothetical protein
ADRDL_1929_00132	gene	240				
ADRDL_1929_00133	CDS	720				hypothetical protein
ADRDL_1929_00133	gene	720				
ADRDL_1929_00134	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
ADRDL_1929_00134	gene	885	cdd			
ADRDL_1929_00135	CDS	696	yohK		COG1346	Inner membrane protein YohK
ADRDL_1929_00135	gene	696	yohK			
ADRDL_1929_00136	CDS	399				hypothetical protein
ADRDL_1929_00136	gene	399				
ADRDL_1929_00137	CDS	909	gbpR			HTH-type transcriptional regulator GbpR
ADRDL_1929_00137	gene	909	gbpR			
ADRDL_1929_00138	CDS	1359	mhbT			3-hydroxybenzoate transporter MhbT
ADRDL_1929_00138	gene	1359	mhbT			
ADRDL_1929_00139	CDS	1029	sdgD	1.13.11.4		Gentisate 1,2-dioxygenase
ADRDL_1929_00139	gene	1029	sdgD			
ADRDL_1929_00140	CDS	702	nagK_1	3.7.1.20		Fumarylpyruvate hydrolase
ADRDL_1929_00140	gene	702	nagK_1			
ADRDL_1929_00141	CDS	645	nagL	5.2.1.4		Maleylpyruvate isomerase
ADRDL_1929_00141	gene	645	nagL			
ADRDL_1929_00142	CDS	1194	mhbM	1.14.13.24	COG0654	3-hydroxybenzoate 6-hydroxylase
ADRDL_1929_00142	gene	1194	mhbM			
ADRDL_1929_00143	CDS	948	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
ADRDL_1929_00143	gene	948	dusC			
ADRDL_1929_00144	CDS	1437	srpC			Solvent efflux pump outer membrane protein SrpC
ADRDL_1929_00144	gene	1437	srpC			
ADRDL_1929_00145	CDS	762	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
ADRDL_1929_00145	gene	762	fabG_1			
ADRDL_1929_00146	CDS	579	yohD		COG0586	Inner membrane protein YohD
ADRDL_1929_00146	gene	579	yohD			
ADRDL_1929_00147	CDS	588	yohC			Inner membrane protein YohC
ADRDL_1929_00147	gene	588	yohC			
ADRDL_1929_00148	CDS	933	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
ADRDL_1929_00148	gene	933	pbpG			
ADRDL_1929_00149	CDS	1716	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
ADRDL_1929_00149	gene	1716	dld			
ADRDL_1929_00150	CDS	2268		3.2.1.21	COG1472	Beta-glucosidase BoGH3B
ADRDL_1929_00150	gene	2268				
ADRDL_1929_00151	CDS	918	yehZ		COG1732	Glycine betaine-binding protein YehZ
ADRDL_1929_00151	gene	918	yehZ			
ADRDL_1929_00152	CDS	1158	yehY		COG1174	Glycine betaine uptake system permease protein YehY
ADRDL_1929_00152	gene	1158	yehY			
ADRDL_1929_00153	CDS	927	yehX	3.6.3.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
ADRDL_1929_00153	gene	927	yehX			
ADRDL_1929_00154	CDS	732	yehW		COG1174	Glycine betaine uptake system permease protein YehW
ADRDL_1929_00154	gene	732	yehW			
ADRDL_1929_00155	CDS	108				hypothetical protein
ADRDL_1929_00155	gene	108				
ADRDL_1929_00156	CDS	732	mlrA		COG0789	HTH-type transcriptional regulator MlrA
ADRDL_1929_00156	gene	732	mlrA			
ADRDL_1929_00157	CDS	1686	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
ADRDL_1929_00157	gene	1686	btsS			
ADRDL_1929_00158	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
ADRDL_1929_00158	gene	720	btsR			
ADRDL_1929_00159	CDS	471				hypothetical protein
ADRDL_1929_00159	gene	471				
ADRDL_1929_00160	CDS	462	yehR		COG4808	putative lipoprotein YehR
ADRDL_1929_00160	gene	462	yehR			
ADRDL_1929_00161	CDS	2001				hypothetical protein
ADRDL_1929_00161	gene	2001				
ADRDL_1929_00162	CDS	1137				hypothetical protein
ADRDL_1929_00162	gene	1137				
ADRDL_1929_00163	CDS	2280				hypothetical protein
ADRDL_1929_00163	gene	2280				
ADRDL_1929_00164	CDS	1089	yehL		COG0714	putative protein YehL
ADRDL_1929_00164	gene	1089	yehL			
ADRDL_1929_00165	CDS	321				hypothetical protein
ADRDL_1929_00165	gene	321				
ADRDL_1929_00166	CDS	3633				hypothetical protein
ADRDL_1929_00166	gene	3633				
ADRDL_1929_00167	CDS	2082				hypothetical protein
ADRDL_1929_00167	gene	2082				
ADRDL_1929_00168	CDS	1620				hypothetical protein
ADRDL_1929_00168	gene	1620				
ADRDL_1929_00169	CDS	2034	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
ADRDL_1929_00169	gene	2034	metG			
ADRDL_1929_00170	CDS	1110	apbC		COG0489	Iron-sulfur cluster carrier protein
ADRDL_1929_00170	gene	1110	apbC			
ADRDL_1929_00171	CDS	282				hypothetical protein
ADRDL_1929_00171	gene	282				
ADRDL_1929_00172	CDS	711	nlpE		COG3015	Lipoprotein NlpE
ADRDL_1929_00172	gene	711	nlpE			
ADRDL_1929_00173	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
ADRDL_1929_00173	gene	423	arfB			
ADRDL_1929_00174	CDS	546	yaeQ		COG4681	putative protein YaeQ
ADRDL_1929_00174	gene	546	yaeQ			
ADRDL_1929_00175	CDS	201				hypothetical protein
ADRDL_1929_00175	gene	201				
ADRDL_1929_00176	CDS	261	rof		COG4568	Protein rof
ADRDL_1929_00176	gene	261	rof			
ADRDL_1929_00177	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
ADRDL_1929_00177	gene	1299	tilS			
ADRDL_1929_00178	CDS	390				hypothetical protein
ADRDL_1929_00178	gene	390				
ADRDL_1929_00179	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
ADRDL_1929_00179	gene	2142	ldcC			
ADRDL_1929_00180	CDS	960	accA	6.4.1.2	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
ADRDL_1929_00180	gene	960	accA			
ADRDL_1929_00181	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
ADRDL_1929_00181	gene	3483	dnaE			
ADRDL_1929_00182	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
ADRDL_1929_00182	gene	597	rnhB			
ADRDL_1929_00183	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
ADRDL_1929_00183	gene	1149	lpxB			
ADRDL_1929_00184	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
ADRDL_1929_00184	gene	789	lpxA			
ADRDL_1929_00185	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
ADRDL_1929_00185	gene	456	fabZ			
ADRDL_1929_00186	CDS	1026	lpxD_1	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
ADRDL_1929_00186	gene	1026	lpxD_1			
ADRDL_1929_00187	CDS	486	skp		COG2825	Chaperone protein Skp
ADRDL_1929_00187	gene	486	skp			
ADRDL_1929_00188	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
ADRDL_1929_00188	gene	2433	bamA			
ADRDL_1929_00189	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
ADRDL_1929_00189	gene	1353	rseP			
ADRDL_1929_00190	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
ADRDL_1929_00190	gene	750	cdsA			
ADRDL_1929_00191	CDS	153				hypothetical protein
ADRDL_1929_00191	gene	153				
ADRDL_1929_00192	CDS	759	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
ADRDL_1929_00192	gene	759	uppS			
ADRDL_1929_00193	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ADRDL_1929_00193	gene	1197	dxr			
ADRDL_1929_00194	CDS	558	frr		COG0233	Ribosome-recycling factor
ADRDL_1929_00194	gene	558	frr			
ADRDL_1929_00195	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
ADRDL_1929_00195	gene	726	pyrH			
ADRDL_1929_00196	CDS	852	tsf		COG0264	Elongation factor Ts
ADRDL_1929_00196	gene	852	tsf			
ADRDL_1929_00197	CDS	726	rpsB		COG0052	30S ribosomal protein S2
ADRDL_1929_00197	gene	726	rpsB			
ADRDL_1929_00198	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
ADRDL_1929_00198	gene	795	map			
ADRDL_1929_00199	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
ADRDL_1929_00199	gene	2673	glnD			
ADRDL_1929_00200	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
ADRDL_1929_00200	gene	825	dapD			
ADRDL_1929_00201	CDS	387				hypothetical protein
ADRDL_1929_00201	gene	387				
ADRDL_1929_00202	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
ADRDL_1929_00202	gene	1158	cdaR			
ADRDL_1929_00203	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
ADRDL_1929_00203	gene	1425	degP			
ADRDL_1929_00204	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
