locus_tag	ftype	length_bp	gene	EC_number	COG	product
SRR8582162_00071	gene	861	cheR			
SRR8582162_00072	CDS	1050	cheB	3.1.1.61	COG2201	Chemotaxis response regulator protein-glutamate methylesterase
SRR8582162_00072	gene	1050	cheB			
SRR8582162_00073	CDS	390	cheY		COG0784	Chemotaxis protein CheY
SRR8582162_00073	gene	390	cheY			
SRR8582162_00074	CDS	645	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
SRR8582162_00074	gene	645	cheZ			
SRR8582162_00075	CDS	1149	flhB		COG1377	Flagellar biosynthetic protein FlhB
SRR8582162_00075	gene	1149	flhB			
SRR8582162_00076	CDS	2079	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
SRR8582162_00076	gene	2079	flhA_1			
SRR8582162_00077	CDS	393	flhE			Flagellar protein FlhE
SRR8582162_00077	gene	393	flhE			
SRR8582162_00078	CDS	489				hypothetical protein
SRR8582162_00078	gene	489				
SRR8582162_00079	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
SRR8582162_00079	gene	1734	argS			
SRR8582162_00080	CDS	567	yecM		COG3102	Protein YecM
SRR8582162_00080	gene	567	yecM			
SRR8582162_00081	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
SRR8582162_00081	gene	747	cutC_1			
SRR8582162_00082	CDS	1101	torY		COG3005	Cytochrome c-type protein TorY
SRR8582162_00082	gene	1101	torY			
SRR8582162_00083	CDS	2430	torZ	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 2
SRR8582162_00083	gene	2430	torZ			
SRR8582162_00084	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
SRR8582162_00084	gene	972	cmoB			
SRR8582162_00085	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
SRR8582162_00085	gene	744	cmoA			
SRR8582162_00086	CDS	396	yecN		COG3788	Inner membrane protein YecN
SRR8582162_00086	gene	396	yecN			
SRR8582162_00087	CDS	819				hypothetical protein
SRR8582162_00087	gene	819				
SRR8582162_00088	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
SRR8582162_00088	gene	567	yecD			
SRR8582162_00089	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
SRR8582162_00089	gene	1773	aspS			
SRR8582162_00090	CDS	510	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
SRR8582162_00090	gene	510	nudB			
SRR8582162_00091	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
SRR8582162_00091	gene	741	yebC			
SRR8582162_00092	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
SRR8582162_00092	gene	522	ruvC			
SRR8582162_00093	CDS	603				hypothetical protein
SRR8582162_00093	gene	603				
SRR8582162_00094	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
SRR8582162_00094	gene	612	ruvA			
SRR8582162_00095	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
SRR8582162_00095	gene	1011	ruvB			
SRR8582162_00096	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
SRR8582162_00096	gene	786	znuB			
SRR8582162_00097	CDS	756	znuC	3.6.3.-	COG1121	Zinc import ATP-binding protein ZnuC
SRR8582162_00097	gene	756	znuC			
SRR8582162_00098	CDS	987	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
SRR8582162_00098	gene	987	znuA			
SRR8582162_00099	CDS	1323	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
SRR8582162_00099	gene	1323	mepM			
SRR8582162_00100	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
SRR8582162_00100	gene	972	lpxM			
SRR8582162_00101	CDS	3075				hypothetical protein
SRR8582162_00101	gene	3075				
SRR8582162_00102	CDS	1869				hypothetical protein
SRR8582162_00102	gene	1869				
SRR8582162_00103	CDS	810				hypothetical protein
SRR8582162_00103	gene	810				
SRR8582162_00104	CDS	1128	ugpC_1	3.6.3.20	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
SRR8582162_00104	gene	1128	ugpC_1			
SRR8582162_00105	CDS	489				hypothetical protein
SRR8582162_00105	gene	489				
SRR8582162_00106	CDS	957	lpxD_1	2.3.1.-		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
SRR8582162_00106	gene	957	lpxD_1			
SRR8582162_00107	CDS	1038				hypothetical protein
SRR8582162_00107	gene	1038				
SRR8582162_00108	CDS	1233	cycB		COG2182	Cyclodextrin-binding protein
SRR8582162_00108	gene	1233	cycB			
SRR8582162_00109	CDS	1290				hypothetical protein
SRR8582162_00109	gene	1290				
SRR8582162_00110	CDS	834	malG_1		COG3833	Maltose transport system permease protein MalG
SRR8582162_00110	gene	834	malG_1			
SRR8582162_00111	CDS	1800	nplT	3.2.1.135		Neopullulanase
SRR8582162_00111	gene	1800	nplT			
SRR8582162_00112	CDS	798				hypothetical protein
SRR8582162_00112	gene	798				
SRR8582162_00113	CDS	840	ybbA		COG2819	putative protein YbbA
SRR8582162_00113	gene	840	ybbA			
SRR8582162_00114	CDS	111				hypothetical protein
SRR8582162_00114	gene	111				
SRR8582162_00115	CDS	843				hypothetical protein
SRR8582162_00115	gene	843				
SRR8582162_00116	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
SRR8582162_00116	gene	1443	pykA			
SRR8582162_00117	CDS	870	hexR		COG1737	HTH-type transcriptional regulator HexR
SRR8582162_00117	gene	870	hexR			
SRR8582162_00118	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
SRR8582162_00118	gene	1476	zwf			
SRR8582162_00119	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
SRR8582162_00119	gene	1812	edd			
SRR8582162_00120	CDS	642	eda		COG0800	KHG/KDPG aldolase
SRR8582162_00120	gene	642	eda			
SRR8582162_00121	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
SRR8582162_00121	gene	1179	purT			
SRR8582162_00122	CDS	291				hypothetical protein
SRR8582162_00122	gene	291				
SRR8582162_00123	CDS	357	yebF			Protein YebF
SRR8582162_00123	gene	357	yebF			
SRR8582162_00124	CDS	207				hypothetical protein
SRR8582162_00124	gene	207				
SRR8582162_00125	CDS	111				hypothetical protein
SRR8582162_00125	gene	111				
SRR8582162_00126	CDS	660	yebE		COG2979	Inner membrane protein YebE
SRR8582162_00126	gene	660	yebE			
SRR8582162_00127	CDS	2061	ptrB	3.4.21.83	COG1770	Protease 2
SRR8582162_00127	gene	2061	ptrB			
SRR8582162_00128	CDS	663	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
SRR8582162_00128	gene	663	exoX			
SRR8582162_00129	CDS	657				hypothetical protein
SRR8582162_00129	gene	657				
SRR8582162_00130	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
SRR8582162_00130	gene	231	holE			
SRR8582162_00131	CDS	375	yobA		COG2372	Protein YobA
SRR8582162_00131	gene	375	yobA			
SRR8582162_00132	CDS	873	yebZ		COG1276	Inner membrane protein YebZ
SRR8582162_00132	gene	873	yebZ			
SRR8582162_00133	CDS	342				hypothetical protein
SRR8582162_00133	gene	342				
SRR8582162_00134	CDS	657	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
SRR8582162_00134	gene	657	pphA			
SRR8582162_00135	CDS	276				hypothetical protein
SRR8582162_00135	gene	276				
SRR8582162_00136	CDS	237	yebV			putative protein YebV
SRR8582162_00136	gene	237	yebV			
SRR8582162_00137	CDS	1446	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
SRR8582162_00137	gene	1446	rsmF			
SRR8582162_00138	CDS	2634			COG3008	putative protein
SRR8582162_00138	gene	2634				
SRR8582162_00139	CDS	1284	yebS		COG2995	Inner membrane protein YebS
SRR8582162_00139	gene	1284	yebS			
SRR8582162_00140	CDS	552	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
SRR8582162_00140	gene	552	msrC			
SRR8582162_00141	CDS	699	proQ		COG3109	RNA chaperone ProQ
SRR8582162_00141	gene	699	proQ			
SRR8582162_00142	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
SRR8582162_00142	gene	2049	prc			
SRR8582162_00143	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
SRR8582162_00143	gene	882	htpX			
SRR8582162_00144	CDS	1374	ribZ			Riboflavin transporter RibZ
SRR8582162_00144	gene	1374	ribZ			
SRR8582162_00145	CDS	792	kdgR		COG1414	Transcriptional regulator KdgR
SRR8582162_00145	gene	792	kdgR			
SRR8582162_00146	CDS	240				hypothetical protein
SRR8582162_00146	gene	240				
SRR8582162_00147	CDS	288				hypothetical protein
SRR8582162_00147	gene	288				
SRR8582162_00148	CDS	210	cspC		COG1278	Cold shock-like protein CspC
SRR8582162_00148	gene	210	cspC			
SRR8582162_00149	CDS	810	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
SRR8582162_00149	gene	810	rlmA			
SRR8582162_00150	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
SRR8582162_00150	gene	567	mntP			
SRR8582162_00151	CDS	123				hypothetical protein
SRR8582162_00151	gene	123				
SRR8582162_00152	CDS	459				hypothetical protein
SRR8582162_00152	gene	459				
SRR8582162_00153	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
SRR8582162_00153	gene	852	manZ_1			
SRR8582162_00154	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
SRR8582162_00154	gene	801	manY			
SRR8582162_00155	CDS	972	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
SRR8582162_00155	gene	972	manX_1			
SRR8582162_00156	CDS	210				hypothetical protein
SRR8582162_00156	gene	210				
SRR8582162_00157	CDS	1557				hypothetical protein
SRR8582162_00157	gene	1557				
SRR8582162_00158	CDS	1599	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
SRR8582162_00158	gene	1599	pdeD			
SRR8582162_00159	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
SRR8582162_00159	gene	1365	sdaA			
SRR8582162_00160	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
SRR8582162_00160	gene	579	nudL			
SRR8582162_00161	CDS	1362	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
SRR8582162_00161	gene	1362	pabB			
SRR8582162_00162	CDS	180				hypothetical protein
SRR8582162_00162	gene	180				
SRR8582162_00163	CDS	300				hypothetical protein
SRR8582162_00163	gene	300				
SRR8582162_00164	CDS	348	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
SRR8582162_00164	gene	348	yabJ			
SRR8582162_00165	CDS	1911	dinG_1	3.6.4.12	COG1199	putative ATP-dependent helicase DinG 
SRR8582162_00165	gene	1911	dinG_1			
SRR8582162_00166	CDS	732	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
SRR8582162_00166	gene	732	tsaB			
SRR8582162_00167	CDS	582	slp_1		COG3065	Outer membrane protein slp
SRR8582162_00167	gene	582	slp_1			
SRR8582162_00168	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
SRR8582162_00168	gene	1752	fadD			
SRR8582162_00169	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
SRR8582162_00169	gene	1116	rnd			
SRR8582162_00170	CDS	966	yeaX	1.14.13.-	COG1018	Carnitine monooxygenase reductase subunit
SRR8582162_00170	gene	966	yeaX			
SRR8582162_00171	CDS	939	yeaW	1.14.13.-	COG4638	Carnitine monooxygenase oxygenase subunit
SRR8582162_00171	gene	939	yeaW			
SRR8582162_00172	CDS	1611	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
SRR8582162_00172	gene	1611	caiT_1			
SRR8582162_00173	CDS	1086	dmlA	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
SRR8582162_00173	gene	1086	dmlA			
SRR8582162_00174	CDS	924	dmlR_1			HTH-type transcriptional regulator DmlR
SRR8582162_00174	gene	924	dmlR_1			
SRR8582162_00175	CDS	639	leuE		COG1280	Leucine efflux protein
SRR8582162_00175	gene	639	leuE			
SRR8582162_00176	CDS	360	yeaR		COG3615	putative protein YeaR
SRR8582162_00176	gene	360	yeaR			
SRR8582162_00177	CDS	189	yoaG			Protein YoaG
SRR8582162_00177	gene	189	yoaG			
SRR8582162_00178	CDS	1149				IS200/IS605 family transposase IS609
SRR8582162_00178	gene	1149				
SRR8582162_00179	CDS	249				hypothetical protein
SRR8582162_00179	gene	249				
SRR8582162_00180	CDS	1026	dgcP	2.7.7.65	COG2203	Diguanylate cyclase DgcP
SRR8582162_00180	gene	1026	dgcP			
SRR8582162_00181	CDS	255				hypothetical protein
SRR8582162_00181	gene	255				
SRR8582162_00182	CDS	348				hypothetical protein
SRR8582162_00182	gene	348				
SRR8582162_00183	CDS	1182	nimT		COG2807	2-nitroimidazole transporter
SRR8582162_00183	gene	1182	nimT			
SRR8582162_00184	CDS	819	nimR			HTH-type transcriptional regulator NimR
SRR8582162_00184	gene	819	nimR			
SRR8582162_00185	CDS	447				hypothetical protein
SRR8582162_00185	gene	447				
SRR8582162_00186	CDS	504				hypothetical protein
SRR8582162_00186	gene	504				
SRR8582162_00187	CDS	1491	dgcJ	2.7.7.65	COG2199	putative diguanylate cyclase DgcJ
SRR8582162_00187	gene	1491	dgcJ			
SRR8582162_00188	CDS	1476	cdgI	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
SRR8582162_00188	gene	1476	cdgI			
SRR8582162_00189	CDS	1284				hypothetical protein
SRR8582162_00189	gene	1284				
SRR8582162_00190	CDS	1935				hypothetical protein
SRR8582162_00190	gene	1935				
SRR8582162_00191	CDS	750	mipA_1		COG3713	MltA-interacting protein
SRR8582162_00191	gene	750	mipA_1			
SRR8582162_00192	CDS	855	yvgN	1.1.1.-	COG0656	Glyoxal reductase
SRR8582162_00192	gene	855	yvgN			
SRR8582162_00193	CDS	885	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
SRR8582162_00193	gene	885	yeaD			
SRR8582162_00194	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
SRR8582162_00194	gene	996	gapA			
SRR8582162_00195	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
SRR8582162_00195	gene	414	msrB			
SRR8582162_00196	CDS	273				hypothetical protein
SRR8582162_00196	gene	273				
SRR8582162_00197	CDS	1077		1.1.1.301		D-arabitol-phosphate dehydrogenase
SRR8582162_00197	gene	1077				
SRR8582162_00198	CDS	1380	ydjE_1			Inner membrane metabolite transport protein YdjE
SRR8582162_00198	gene	1380	ydjE_1			
SRR8582162_00199	CDS	1044	ydjJ	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YdjJ
SRR8582162_00199	gene	1044	ydjJ			
SRR8582162_00200	CDS	837	fbaA_1	4.1.2.13	COG0191	putative fructose-bisphosphate aldolase
SRR8582162_00200	gene	837	fbaA_1			
SRR8582162_00201	CDS	948	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
SRR8582162_00201	gene	948	ydjH			
SRR8582162_00202	CDS	981	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
SRR8582162_00202	gene	981	ydjG			
SRR8582162_00203	CDS	759	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
SRR8582162_00203	gene	759	ydjF_1			
SRR8582162_00204	CDS	1359	ydjE_2			Inner membrane metabolite transport protein YdjE
SRR8582162_00204	gene	1359	ydjE_2			
SRR8582162_00205	CDS	642	pncA	3.5.1.19	COG1335	Nicotinamidase
SRR8582162_00205	gene	642	pncA			
SRR8582162_00206	CDS	1017	ansA	3.5.1.1	COG0252	L-asparaginase 1
SRR8582162_00206	gene	1017	ansA			
SRR8582162_00207	CDS	1857	sppA	3.4.21.-	COG0616	Protease 4
SRR8582162_00207	gene	1857	sppA			
SRR8582162_00208	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
SRR8582162_00208	gene	552	ydjA			
SRR8582162_00209	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
SRR8582162_00209	gene	1044	selD			
SRR8582162_00210	CDS	1962	topB_1	5.99.1.2	COG0550	DNA topoisomerase 3
SRR8582162_00210	gene	1962	topB_1			
SRR8582162_00211	CDS	198	ynjI_1			Inner membrane protein YnjI
SRR8582162_00211	gene	198	ynjI_1			
SRR8582162_00212	CDS	885	ynjI_2			Inner membrane protein YnjI
SRR8582162_00212	gene	885	ynjI_2			
SRR8582162_00213	CDS	1344	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
SRR8582162_00213	gene	1344	gdhA			
SRR8582162_00214	CDS	273				hypothetical protein
SRR8582162_00214	gene	273				
SRR8582162_00215	CDS	408	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
SRR8582162_00215	gene	408	nudG			
SRR8582162_00216	CDS	621	ynjF		COG0558	Inner membrane protein YnjF
SRR8582162_00216	gene	621	ynjF			
SRR8582162_00217	CDS	1308	ynjE	2.8.1.1	COG2897	Thiosulfate sulfurtransferase YnjE
SRR8582162_00217	gene	1308	ynjE			
SRR8582162_00218	CDS	654	fbpC2	3.6.3.30	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
SRR8582162_00218	gene	654	fbpC2			
SRR8582162_00219	CDS	1536	ynjC		COG4135	Inner membrane ABC transporter permease protein YnjC
SRR8582162_00219	gene	1536	ynjC			
SRR8582162_00220	CDS	1167	ynjB		COG4134	Protein YnjB
SRR8582162_00220	gene	1167	ynjB			
SRR8582162_00221	CDS	549				hypothetical protein
SRR8582162_00221	gene	549				
SRR8582162_00222	CDS	708	ydjZ_1		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
SRR8582162_00222	gene	708	ydjZ_1			
SRR8582162_00223	CDS	678				hypothetical protein
SRR8582162_00223	gene	678				
SRR8582162_00224	CDS	711	ydjZ_2		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
SRR8582162_00224	gene	711	ydjZ_2			
SRR8582162_00225	CDS	807	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
SRR8582162_00225	gene	807	xthA			
SRR8582162_00226	CDS	1221	astC	2.6.1.81	COG4992	Succinylornithine transaminase
SRR8582162_00226	gene	1221	astC			
SRR8582162_00227	CDS	1035	astA	2.3.1.109	COG3138	Arginine N-succinyltransferase
SRR8582162_00227	gene	1035	astA			
SRR8582162_00228	CDS	1479	astD	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
SRR8582162_00228	gene	1479	astD			
SRR8582162_00229	CDS	1344	astB	3.5.3.23	COG3724	N-succinylarginine dihydrolase
SRR8582162_00229	gene	1344	astB			
SRR8582162_00230	CDS	969	astE	3.5.1.96	COG2988	Succinylglutamate desuccinylase
SRR8582162_00230	gene	969	astE			
SRR8582162_00231	CDS	486	spy		COG3678	Periplasmic chaperone Spy
SRR8582162_00231	gene	486	spy			
SRR8582162_00232	CDS	576	ves		COG3758	Protein Ves
SRR8582162_00232	gene	576	ves			
SRR8582162_00233	CDS	888	cho	3.1.25.-	COG0322	Excinuclease cho
